item_id,year,month,seq,type,hs4,weight,quantity,value
OGAFEHLU,2022,1,1,1,7202,205000,0,4504988
SDWAYPIK,2022,1,1,1,7207,6387100,0,4980385
UIFPPCLR,2022,1,1,1,8102,3000,0,152980
KEUWZRKO,2022,1,1,1,8102,14,0,2978
FQCLOEXA,2022,1,1,1,8102,42,0,14060
APQGTRMF,2022,1,1,1,8105,3116,0,57646
ZCELVYQU,2022,1,1,1,8461,3000,1,14628
KAGJCHMR,2022,1,1,1,8467,1,1,1289
KJNSOAHR,2022,1,1,1,8479,30731,0,1162738
QKXNTIIB,2022,1,1,1,8501,74322,6,1708475
GKQIJYDH,2022,1,1,1,8501,419379,30,8632341
VBYCLTYZ,2022,1,1,1,8505,5755,0,227711
GYHKIVQT,2022,1,1,1,8505,184551,0,11423231
ROACSLMG,2022,1,1,1,8505,341343,0,941707
VMAQSTJE,2022,1,1,1,8527,10,2,225
XIFHSOWQ,2022,1,1,1,8708,70,0,1601
FITUEHWN,2022,1,1,1,8714,3584,3280,24085
UGEQLMXM,2022,1,1,1,8714,397,0,27109
BUZIIBYG,2022,1,1,1,9403,2042391,0,5809745
DEWLVASR,2022,1,2,1,3038,7000,0,27505
JBVHSUWY,2022,1,2,1,1210,29343,0,470887
ELQGMQWE,2022,1,2,1,2002,21342,0,22335
AHMDUILJ,2022,1,2,1,2102,80603,0,153608
XIPPENFQ,2022,1,2,1,2501,20461,0,10550
FTSVTTSR,2022,1,2,1,2529,193000,0,87681
XMKRPGLB,2022,1,2,1,2529,938910,0,346576
RCBZUSIM,2022,1,2,1,2805,0,0,2287
SUOYXCHP,2022,1,2,1,2805,0,0,0
ZKENOUDA,2022,1,2,1,2805,30,0,37837
WQMVCOEM,2022,1,2,1,2805,54,0,72345
BSRMSVTC,2022,1,2,1,2805,1704,0,850392
DDEXPPXU,2022,1,2,1,2807,0,0,0
LLHREMKS,2022,1,2,1,2807,124,0,5079
DNMPSKTB,2022,1,2,1,2811,2006350,0,4124512
WPQXWHYO,2022,1,2,1,2811,1761099,0,3304930
VWMBASNE,2022,1,2,1,2811,186236,0,105256
RJGPVEXX,2022,1,2,1,2811,20183,0,260288
ATLDMDBO,2022,1,2,1,2814,58061763,0,50308132
SAHWCZNH,2022,1,2,1,2825,21006,0,544782
LUENUFGA,2022,1,2,1,2833,180780,0,898249
HXYSSRXE,2022,1,2,1,2836,8433408,0,3468982
QRKRBYJL,2022,1,2,1,2841,92160,0,5522158
FRHNWLNI,2022,1,2,1,2846,18928,0,1122758
MBSBZBXA,2022,1,2,1,2846,4537,0,957499
BJALXPFS,2022,1,2,1,2847,33,0,1460
RAWUKQMJ,2022,1,2,1,2916,128993,0,1859151
ZGJXVMNI,2022,1,2,1,3006,162,0,325412
LRVGFDFM,2022,1,2,1,3102,14101237,0,13632286
BTMOEMEP,2022,1,2,1,3102,15918195,0,14912873
UXSPKBJR,2022,1,2,1,3206,2885,0,986970
BEZYMBBT,2022,1,2,1,3207,1881,0,1430358
SAAYMURU,2022,1,2,1,3215,226,0,2970
QJQJSWFU,2022,1,2,1,3307,3963,0,38030
EVBVXETX,2022,1,2,1,3404,849480,0,2915512
DUCMGGNW,2022,1,2,1,3806,41015,0,102305
NAQIHUKZ,2022,1,2,1,3813,1,0,30
OJIFIHMZ,2022,1,2,1,3815,8845,0,295758
STZDBITS,2022,1,2,1,3815,548451,0,4838151
SNHYOVBM,2022,1,2,1,3824,60036,0,52511
LPHPPJUG,2022,1,2,1,3824,805167,0,366640
FCYBOAXC,2022,1,2,1,3824,17336793,0,39280673
JPBRUTWP,2022,1,2,1,3904,354034,0,3175598
LTOYKIML,2022,1,2,1,3909,26144,0,67367
QVLMOEYE,2022,1,2,1,4202,6131,8493,1093818
MIRCVAMV,2022,1,2,1,4408,7500,0,128180
JERHKLYW,2022,1,2,1,4601,119,0,2182
ZXERAXWP,2022,1,2,1,4802,1390,0,6722
AANGBULD,2022,1,2,1,4810,17625,0,14276
LSOIUSXD,2022,1,2,1,5111,18,38,260
XUOIQPFL,2022,1,2,1,5205,958913,0,4051574
WBLJNPZQ,2022,1,2,1,5309,5773,18497,262499
OXKURKXR,2022,1,2,1,5402,9733,0,44240
WHPUAOID,2022,1,2,1,5512,50,251,1477
AXULOHBQ,2022,1,2,1,5515,256,1331,8496
DBWLZWNK,2022,1,2,1,5602,8627,0,191171
NZKBIBNU,2022,1,2,1,5609,7613,0,138623
OKMBFVKS,2022,1,2,1,5705,506805,194908,1066519
VUAFAIYJ,2022,1,2,1,6101,1573,1793,148635
CCLHWFWF,2022,1,2,1,6211,392557,1041817,15059652
OGAFEHLU,2022,1,2,1,7202,365000,0,8433649
SDWAYPIK,2022,1,2,1,7207,9082663,0,6048591
UIFPPCLR,2022,1,2,1,8102,10,0,683
KEUWZRKO,2022,1,2,1,8102,0,0,0
FQCLOEXA,2022,1,2,1,8102,9525,0,1033225
APQGTRMF,2022,1,2,1,8105,25712,0,243264
ZCELVYQU,2022,1,2,1,8461,20865,2,42000
KAGJCHMR,2022,1,2,1,8467,0,0,0
KJNSOAHR,2022,1,2,1,8479,641934,0,12911504
QKXNTIIB,2022,1,2,1,8501,35950,10,323320
UQYUIVVR,2022,1,2,1,8501,88419,4,3960970
GKQIJYDH,2022,1,2,1,8501,89527,11,698571
VBYCLTYZ,2022,1,2,1,8505,13600,0,527846
GYHKIVQT,2022,1,2,1,8505,235793,0,11963356
ROACSLMG,2022,1,2,1,8505,220564,0,1017480
VMAQSTJE,2022,1,2,1,8527,3519,3700,80837
XIFHSOWQ,2022,1,2,1,8708,38,0,1930
FITUEHWN,2022,1,2,1,8714,624,1477,49431
UGEQLMXM,2022,1,2,1,8714,150,0,4335
BUZIIBYG,2022,1,2,1,9403,2341919,0,6678262
DEWLVASR,2022,1,3,1,3038,0,0,0
JBVHSUWY,2022,1,3,1,1210,35,0,304
ELQGMQWE,2022,1,3,1,2002,94158,0,134791
AHMDUILJ,2022,1,3,1,2102,1961,0,16331
XIPPENFQ,2022,1,3,1,2501,130931,0,86977
FTSVTTSR,2022,1,3,1,2529,144000,0,69360
XMKRPGLB,2022,1,3,1,2529,864060,0,326955
FWUCPMMW,2022,1,3,1,2701,0,0,26
RCBZUSIM,2022,1,3,1,2805,3001,0,17752
SUOYXCHP,2022,1,3,1,2805,2,0,30329
ZKENOUDA,2022,1,3,1,2805,130,0,82007
WQMVCOEM,2022,1,3,1,2805,0,0,0
BSRMSVTC,2022,1,3,1,2805,1164,0,331925
DDEXPPXU,2022,1,3,1,2807,1518,0,1618
LLHREMKS,2022,1,3,1,2807,147,0,6439
DNMPSKTB,2022,1,3,1,2811,2142957,0,5147328
WPQXWHYO,2022,1,3,1,2811,1870902,0,3711808
VWMBASNE,2022,1,3,1,2811,192404,0,140747
RJGPVEXX,2022,1,3,1,2811,103,0,43657
ATLDMDBO,2022,1,3,1,2814,36368068,0,32240449
SAHWCZNH,2022,1,3,1,2825,60761,0,531017
LUENUFGA,2022,1,3,1,2833,74295,0,383130
HXYSSRXE,2022,1,3,1,2836,6663495,0,2876447
QRKRBYJL,2022,1,3,1,2841,45008,0,2865356
FRHNWLNI,2022,1,3,1,2846,7550,0,605813
MBSBZBXA,2022,1,3,1,2846,1136,0,571524
BJALXPFS,2022,1,3,1,2847,175901,0,87721
RAWUKQMJ,2022,1,3,1,2916,142754,0,1848935
ZGJXVMNI,2022,1,3,1,3006,264,0,824740
LRVGFDFM,2022,1,3,1,3102,33825000,0,31449756
BTMOEMEP,2022,1,3,1,3102,11443779,0,10879367
UXSPKBJR,2022,1,3,1,3206,1704,0,99464
BEZYMBBT,2022,1,3,1,3207,2972,0,2459364
SAAYMURU,2022,1,3,1,3215,163,0,2398
QJQJSWFU,2022,1,3,1,3307,1122,0,13483
EVBVXETX,2022,1,3,1,3404,375297,0,1636528
DUCMGGNW,2022,1,3,1,3806,24676,0,81835
NAQIHUKZ,2022,1,3,1,3813,0,0,0
OJIFIHMZ,2022,1,3,1,3815,36935,0,4210672
STZDBITS,2022,1,3,1,3815,599954,0,3149446
IGDVVKUD,2022,1,3,1,3824,2020,0,8949
SNHYOVBM,2022,1,3,1,3824,520,0,1428
LPHPPJUG,2022,1,3,1,3824,564676,0,362265
FCYBOAXC,2022,1,3,1,3824,10103460,0,36875481
JPBRUTWP,2022,1,3,1,3904,157339,0,2076330
LTOYKIML,2022,1,3,1,3909,26721,0,69553
QVLMOEYE,2022,1,3,1,4202,9314,40941,978228
MIRCVAMV,2022,1,3,1,4408,0,0,0
JERHKLYW,2022,1,3,1,4601,41,0,735
ZXERAXWP,2022,1,3,1,4802,0,0,20
AANGBULD,2022,1,3,1,4810,0,0,0
LSOIUSXD,2022,1,3,1,5111,66,608,1628
XUOIQPFL,2022,1,3,1,5205,754784,0,3209434
WBLJNPZQ,2022,1,3,1,5309,2904,10777,94629
OXKURKXR,2022,1,3,1,5402,72,0,2947
WHPUAOID,2022,1,3,1,5512,4841,13493,119096
AXULOHBQ,2022,1,3,1,5515,101,356,2056
DBWLZWNK,2022,1,3,1,5602,4545,0,154885
NZKBIBNU,2022,1,3,1,5609,3149,0,44522
OKMBFVKS,2022,1,3,1,5705,366679,158574,707437
VUAFAIYJ,2022,1,3,1,6101,235,262,51762
CCLHWFWF,2022,1,3,1,6211,395620,1217876,15139621
OGAFEHLU,2022,1,3,1,7202,55000,0,1326695
SDWAYPIK,2022,1,3,1,7207,13400090,0,9012184
FDXPMYGF,2022,1,3,1,7907,2,0,571
UIFPPCLR,2022,1,3,1,8102,0,0,0
KEUWZRKO,2022,1,3,1,8102,60,0,13599
FQCLOEXA,2022,1,3,1,8102,4422,0,449117
APQGTRMF,2022,1,3,1,8105,21365,0,83089
ZCELVYQU,2022,1,3,1,8461,7910,1,317231
KAGJCHMR,2022,1,3,1,8467,0,0,0
KJNSOAHR,2022,1,3,1,8479,50518,0,2413854
QKXNTIIB,2022,1,3,1,8501,41570,12,612870
UQYUIVVR,2022,1,3,1,8501,27140,1,416000
GKQIJYDH,2022,1,3,1,8501,70498,27,451557
VBYCLTYZ,2022,1,3,1,8505,1712,0,196518
GYHKIVQT,2022,1,3,1,8505,189054,0,12607426
ROACSLMG,2022,1,3,1,8505,348577,0,1116303
VMAQSTJE,2022,1,3,1,8527,5736,7624,149766
XIFHSOWQ,2022,1,3,1,8708,82,0,4187
FITUEHWN,2022,1,3,1,8714,340,244,8325
UGEQLMXM,2022,1,3,1,8714,1065,0,64498
BUZIIBYG,2022,1,3,1,9403,2507134,0,6573780
JBVHSUWY,2022,2,1,1,1210,19,0,306
ELQGMQWE,2022,2,1,1,2002,19471,0,69154
AHMDUILJ,2022,2,1,1,2102,1951,0,10585
XIPPENFQ,2022,2,1,1,2501,101977,0,21780
FTSVTTSR,2022,2,1,1,2529,60000,0,37864
XMKRPGLB,2022,2,1,1,2529,20000,0,15940
FWUCPMMW,2022,2,1,1,2701,0,0,24
QSDCUCLB,2022,2,1,1,2710,4380,5277,1080
RCBZUSIM,2022,2,1,1,2805,1,0,959
SUOYXCHP,2022,2,1,1,2805,0,0,279
ZKENOUDA,2022,2,1,1,2805,0,0,102
WQMVCOEM,2022,2,1,1,2805,63,0,91877
BSRMSVTC,2022,2,1,1,2805,6,0,31755
DDEXPPXU,2022,2,1,1,2807,2748,0,4991
LLHREMKS,2022,2,1,1,2807,3203,0,22734
YSYHGLQK,2022,2,1,1,2807,4,0,163
DNMPSKTB,2022,2,1,1,2811,2128590,0,4418665
WPQXWHYO,2022,2,1,1,2811,1399061,0,2555906
VWMBASNE,2022,2,1,1,2811,1827,0,40341
RJGPVEXX,2022,2,1,1,2811,312,0,21360
ATLDMDBO,2022,2,1,1,2814,70474476,0,63846719
SAHWCZNH,2022,2,1,1,2825,15,0,6972
LUENUFGA,2022,2,1,1,2833,153031,0,759540
HXYSSRXE,2022,2,1,1,2836,6490649,0,2578331
QRKRBYJL,2022,2,1,1,2841,56432,0,3610337
FRHNWLNI,2022,2,1,1,2846,6589,0,254713
MBSBZBXA,2022,2,1,1,2846,4474,0,387851
BJALXPFS,2022,2,1,1,2847,231100,0,131374
RAWUKQMJ,2022,2,1,1,2916,82793,0,872264
ZGJXVMNI,2022,2,1,1,3006,327,0,430357
LRVGFDFM,2022,2,1,1,3102,7726748,0,6805378
BTMOEMEP,2022,2,1,1,3102,10687974,0,9899139
UXSPKBJR,2022,2,1,1,3206,1633,0,1603935
BEZYMBBT,2022,2,1,1,3207,2782,0,2006300
SAAYMURU,2022,2,1,1,3215,1126,0,17022
QJQJSWFU,2022,2,1,1,3307,2731,0,41024
EVBVXETX,2022,2,1,1,3404,407272,0,1558077
DUCMGGNW,2022,2,1,1,3806,31469,0,157142
OJIFIHMZ,2022,2,1,1,3815,2814,0,574681
STZDBITS,2022,2,1,1,3815,432828,0,4822385
PYZMVUWD,2022,2,1,1,3824,4880,0,32993
SNHYOVBM,2022,2,1,1,3824,80479,0,71661
LPHPPJUG,2022,2,1,1,3824,939602,0,469620
FCYBOAXC,2022,2,1,1,3824,11205668,0,42476643
JPBRUTWP,2022,2,1,1,3904,270719,0,2835525
LTOYKIML,2022,2,1,1,3909,44802,0,86400
QVLMOEYE,2022,2,1,1,4202,2728,4704,774557
JERHKLYW,2022,2,1,1,4601,58,0,835
ZXERAXWP,2022,2,1,1,4802,2,0,109
LSOIUSXD,2022,2,1,1,5111,286,396,17334
XUOIQPFL,2022,2,1,1,5205,712545,0,3123029
WBLJNPZQ,2022,2,1,1,5309,14474,48971,279431
OXKURKXR,2022,2,1,1,5402,6877,0,87252
WHPUAOID,2022,2,1,1,5512,25,152,281
AXULOHBQ,2022,2,1,1,5515,127,1067,3497
DBWLZWNK,2022,2,1,1,5602,15288,0,498622
NZKBIBNU,2022,2,1,1,5609,1662,0,33106
OKMBFVKS,2022,2,1,1,5705,417638,128119,794117
HCDTGMST,2022,2,1,1,6006,11,0,607
VUAFAIYJ,2022,2,1,1,6101,33,40,35231
CCLHWFWF,2022,2,1,1,6211,611852,1718142,20580512
OGAFEHLU,2022,2,1,1,7202,15000,0,318040
SDWAYPIK,2022,2,1,1,7207,2580280,0,1813173
FDXPMYGF,2022,2,1,1,7907,0,0,52
UIFPPCLR,2022,2,1,1,8102,303,0,9607
KEUWZRKO,2022,2,1,1,8102,281,0,19106
FQCLOEXA,2022,2,1,1,8102,4373,0,506595
APQGTRMF,2022,2,1,1,8105,44596,0,299736
ZCELVYQU,2022,2,1,1,8461,4460,11,59900
KJNSOAHR,2022,2,1,1,8479,447717,0,13424333
QKXNTIIB,2022,2,1,1,8501,31730,17,393331
UQYUIVVR,2022,2,1,1,8501,27200,4,244123
GKQIJYDH,2022,2,1,1,8501,30769,13,169492
VBYCLTYZ,2022,2,1,1,8505,1451,0,103790
GYHKIVQT,2022,2,1,1,8505,110849,0,7535735
ROACSLMG,2022,2,1,1,8505,193346,0,637834
VMAQSTJE,2022,2,1,1,8527,3282,410,73282
XIFHSOWQ,2022,2,1,1,8708,2499,0,8925
FITUEHWN,2022,2,1,1,8714,122,56,3308
UGEQLMXM,2022,2,1,1,8714,2275,0,308498
BUZIIBYG,2022,2,1,1,9403,2041672,0,5709757
DEWLVASR,2022,2,2,1,3038,19185,0,59784
JSLXRQOK,2022,2,2,1,5119,1,0,204
JBVHSUWY,2022,2,2,1,1210,8110,0,217325
ELQGMQWE,2022,2,2,1,2002,87323,0,130788
AHMDUILJ,2022,2,2,1,2102,40494,0,102626
XIPPENFQ,2022,2,2,1,2501,117748,0,28602
FTSVTTSR,2022,2,2,1,2529,50000,0,15000
XMKRPGLB,2022,2,2,1,2529,3659700,0,1356122
FWUCPMMW,2022,2,2,1,2701,1,0,24
QSDCUCLB,2022,2,2,1,2710,0,0,0
RCBZUSIM,2022,2,2,1,2805,0,0,131
SUOYXCHP,2022,2,2,1,2805,0,0,1589
ZKENOUDA,2022,2,2,1,2805,0,0,20
WQMVCOEM,2022,2,2,1,2805,1,0,1652
BSRMSVTC,2022,2,2,1,2805,81,0,69103
DDEXPPXU,2022,2,2,1,2807,3110,0,6784
LLHREMKS,2022,2,2,1,2807,252,0,11713
YSYHGLQK,2022,2,2,1,2807,0,0,0
DNMPSKTB,2022,2,2,1,2811,1410885,0,2924808
WPQXWHYO,2022,2,2,1,2811,1351727,0,2635798
VWMBASNE,2022,2,2,1,2811,1018,0,20348
RJGPVEXX,2022,2,2,1,2811,17004,0,118989
ATLDMDBO,2022,2,2,1,2814,684,0,6579
SAHWCZNH,2022,2,2,1,2825,1502,0,74404
LUENUFGA,2022,2,2,1,2833,127961,0,696050
HXYSSRXE,2022,2,2,1,2836,7077606,0,2997175
QRKRBYJL,2022,2,2,1,2841,73628,0,5146102
FRHNWLNI,2022,2,2,1,2846,3921,0,442944
MBSBZBXA,2022,2,2,1,2846,20402,0,235161
BJALXPFS,2022,2,2,1,2847,96045,0,85704
RAWUKQMJ,2022,2,2,1,2916,41683,0,696920
ZGJXVMNI,2022,2,2,1,3006,262,0,323358
LRVGFDFM,2022,2,2,1,3102,41352681,0,32681048
BTMOEMEP,2022,2,2,1,3102,9997706,0,8721762
UXSPKBJR,2022,2,2,1,3206,64,0,110000
BEZYMBBT,2022,2,2,1,3207,1199,0,1912704
SAAYMURU,2022,2,2,1,3215,89,0,1218
QJQJSWFU,2022,2,2,1,3307,23554,0,138176
EVBVXETX,2022,2,2,1,3404,175036,0,782770
DUCMGGNW,2022,2,2,1,3806,278491,0,938026
OJIFIHMZ,2022,2,2,1,3815,1247,0,559973
STZDBITS,2022,2,2,1,3815,742074,0,6277848
PYZMVUWD,2022,2,2,1,3824,0,0,0
SNHYOVBM,2022,2,2,1,3824,739,0,29512
LPHPPJUG,2022,2,2,1,3824,760309,0,386015
FCYBOAXC,2022,2,2,1,3824,7537460,0,28455461
JPBRUTWP,2022,2,2,1,3904,132535,0,1884610
LTOYKIML,2022,2,2,1,3909,8036,0,34486
QVLMOEYE,2022,2,2,1,4202,977,1538,658938
MIRCVAMV,2022,2,2,1,4408,3882,0,39362
JERHKLYW,2022,2,2,1,4601,52,0,672
ZXERAXWP,2022,2,2,1,4802,0,0,15
LSOIUSXD,2022,2,2,1,5111,475,813,36285
XUOIQPFL,2022,2,2,1,5205,803290,0,3438977
WBLJNPZQ,2022,2,2,1,5309,1442,5216,41725
OXKURKXR,2022,2,2,1,5402,6255,0,52738
WHPUAOID,2022,2,2,1,5512,279,3642,536
AXULOHBQ,2022,2,2,1,5515,191,893,11083
DBWLZWNK,2022,2,2,1,5602,6947,0,56383
NZKBIBNU,2022,2,2,1,5609,2841,0,28250
OKMBFVKS,2022,2,2,1,5705,192611,134710,653437
HCDTGMST,2022,2,2,1,6006,0,0,0
VUAFAIYJ,2022,2,2,1,6101,150,263,21673
CCLHWFWF,2022,2,2,1,6211,215485,774337,8674113
OGAFEHLU,2022,2,2,1,7202,10000,0,251329
SDWAYPIK,2022,2,2,1,7207,14665850,0,10387906
FDXPMYGF,2022,2,2,1,7907,0,0,0
UIFPPCLR,2022,2,2,1,8102,5035,0,258270
KEUWZRKO,2022,2,2,1,8102,1371,0,79403
FQCLOEXA,2022,2,2,1,8102,2027,0,365099
APQGTRMF,2022,2,2,1,8105,36833,0,213077
ZCELVYQU,2022,2,2,1,8461,0,0,0
KJNSOAHR,2022,2,2,1,8479,15558,0,1533028
QKXNTIIB,2022,2,2,1,8501,19279,5,161222
UQYUIVVR,2022,2,2,1,8501,81207,15,812085
GKQIJYDH,2022,2,2,1,8501,1200,1,100
VBYCLTYZ,2022,2,2,1,8505,2136,0,182036
GYHKIVQT,2022,2,2,1,8505,76259,0,6104218
ROACSLMG,2022,2,2,1,8505,123903,0,379395
VMAQSTJE,2022,2,2,1,8527,5,2,286
XIFHSOWQ,2022,2,2,1,8708,130,0,6637
FITUEHWN,2022,2,2,1,8714,3904,3156,23436
UGEQLMXM,2022,2,2,1,8714,911,0,28164
BUZIIBYG,2022,2,2,1,9403,1422988,0,4104358
DEWLVASR,2022,2,3,1,3038,15690,0,49290
JSLXRQOK,2022,2,3,1,5119,0,0,9
JBVHSUWY,2022,2,3,1,1210,10102,0,280347
ELQGMQWE,2022,2,3,1,2002,45845,0,112722
AHMDUILJ,2022,2,3,1,2102,999,0,7636
XIPPENFQ,2022,2,3,1,2501,90088,0,28471
FTSVTTSR,2022,2,3,1,2529,20000,0,12640
XMKRPGLB,2022,2,3,1,2529,930318,0,277966
FWUCPMMW,2022,2,3,1,2701,9,0,64
QSDCUCLB,2022,2,3,1,2710,0,0,0
RCBZUSIM,2022,2,3,1,2805,1001,0,9769
SUOYXCHP,2022,2,3,1,2805,0,0,0
ZKENOUDA,2022,2,3,1,2805,99,0,38040
WQMVCOEM,2022,2,3,1,2805,0,0,0
BSRMSVTC,2022,2,3,1,2805,41,0,55147
DDEXPPXU,2022,2,3,1,2807,380,0,412
LLHREMKS,2022,2,3,1,2807,8623,0,92287
YSYHGLQK,2022,2,3,1,2807,4,0,380
DNMPSKTB,2022,2,3,1,2811,1703360,0,3431933
WPQXWHYO,2022,2,3,1,2811,1158374,0,2059349
VWMBASNE,2022,2,3,1,2811,3683,0,55721
RJGPVEXX,2022,2,3,1,2811,576,0,41524
ATLDMDBO,2022,2,3,1,2814,42992869,0,39715025
SAHWCZNH,2022,2,3,1,2825,40307,0,993102
LUENUFGA,2022,2,3,1,2833,55405,0,295384
HXYSSRXE,2022,2,3,1,2836,2948809,0,1274384
QRKRBYJL,2022,2,3,1,2841,24082,0,1502485
FRHNWLNI,2022,2,3,1,2846,23539,0,1268440
MBSBZBXA,2022,2,3,1,2846,4861,0,628246
BJALXPFS,2022,2,3,1,2847,67,0,1869
RAWUKQMJ,2022,2,3,1,2916,52592,0,912113
ZGJXVMNI,2022,2,3,1,3006,255,0,583907
LRVGFDFM,2022,2,3,1,3102,6357220,0,5824173
BTMOEMEP,2022,2,3,1,3102,10042223,0,8209535
UXSPKBJR,2022,2,3,1,3206,2156,0,353606
BEZYMBBT,2022,2,3,1,3207,2967,0,2302087
SAAYMURU,2022,2,3,1,3215,38,0,568
QJQJSWFU,2022,2,3,1,3307,27494,0,74324
EVBVXETX,2022,2,3,1,3404,519802,0,1616305
DUCMGGNW,2022,2,3,1,3806,253078,0,770556
NAQIHUKZ,2022,2,3,1,3813,20,0,6000
XIIEJNEE,2022,2,3,1,3815,0,0,81
OJIFIHMZ,2022,2,3,1,3815,10520,0,293541
STZDBITS,2022,2,3,1,3815,1703406,0,24719141
PYZMVUWD,2022,2,3,1,3824,0,0,0
SNHYOVBM,2022,2,3,1,3824,193,0,8425
LPHPPJUG,2022,2,3,1,3824,497300,0,310498
FCYBOAXC,2022,2,3,1,3824,8178819,0,37383723
JPBRUTWP,2022,2,3,1,3904,156862,0,1904582
LTOYKIML,2022,2,3,1,3909,60,0,28200
QVLMOEYE,2022,2,3,1,4202,2509,4580,545637
MIRCVAMV,2022,2,3,1,4408,0,0,0
JERHKLYW,2022,2,3,1,4601,11,0,180
ZXERAXWP,2022,2,3,1,4802,49,0,551
AANGBULD,2022,2,3,1,4810,67983,0,52347
LSOIUSXD,2022,2,3,1,5111,0,0,0
XUOIQPFL,2022,2,3,1,5205,716412,0,3011073
WBLJNPZQ,2022,2,3,1,5309,4324,20416,85843
OXKURKXR,2022,2,3,1,5402,63,0,2584
WHPUAOID,2022,2,3,1,5512,0,0,0
AXULOHBQ,2022,2,3,1,5515,96,236,1785
DBWLZWNK,2022,2,3,1,5602,2574,0,10185
NZKBIBNU,2022,2,3,1,5609,2492,0,36888
OKMBFVKS,2022,2,3,1,5705,274604,144561,753913
HCDTGMST,2022,2,3,1,6006,80,0,1321
VUAFAIYJ,2022,2,3,1,6101,189,168,100310
CCLHWFWF,2022,2,3,1,6211,351951,1148063,13649113
OGAFEHLU,2022,2,3,1,7202,155000,0,3852536
SDWAYPIK,2022,2,3,1,7207,15645096,0,9751680
FDXPMYGF,2022,2,3,1,7907,1,0,32
UIFPPCLR,2022,2,3,1,8102,2500,0,186814
KEUWZRKO,2022,2,3,1,8102,0,0,0
FQCLOEXA,2022,2,3,1,8102,9149,0,930835
APQGTRMF,2022,2,3,1,8105,0,0,0
ZCELVYQU,2022,2,3,1,8461,0,0,0
KJNSOAHR,2022,2,3,1,8479,5801,0,691367
QKXNTIIB,2022,2,3,1,8501,32800,10,418299
UQYUIVVR,2022,2,3,1,8501,31895,6,324460
GKQIJYDH,2022,2,3,1,8501,18716,17,151584
VBYCLTYZ,2022,2,3,1,8505,2359,0,128738
